frmName,ctlName,UseTheme,HoverColor,PressedColor,HoverForeColor,PressedForeColor	
navReports,cmdProjectFormulationReportPreview,True,15652797,11957550,4210752,4210752	
navReports,Command16,True,15527148,15527148,4210752,4210752	
navReports,Command17,True,15527148,15527148,4210752,4210752	
navReports,Command19,True,15652797,11957550,4210752,4210752	
navReports,Command20,True,15652797,11957550,4210752,4210752	
navReports,Command21,True,15527148,15527148,4210752,4210752	
navReports,Command22,True,15527148,15527148,4210752,4210752	
navReports,Command23,True,15527148,15527148,4210752,4210752	
navReports,Command24,True,15527148,15527148,4210752,4210752	
navReports,Command25,True,15527148,15527148,4210752,4210752	
navReports,Command27,True,15652797,11957550,4210752,4210752	
navReports,cmdOpenApplicantStatusReport,True,15652797,11957550,4210752,4210752	
navReports,cmdClose,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdOccStart,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdOpsInitialStart,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdPagsComplete,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdOccComplete,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdOpsInitialComplete,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdPagsStart,True,15652797,11957550,4210752,4210752	
frmRpaReview,cmdClose,True,9917743,15189940,13431551,0	
frmRpaReview,Command163,False,16777215,16777215,16777215,16777215	
frmRpaReview,Command164,False,16777215,16777215,16777215,16777215	
frmRpaReview,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmRpaReview,cmdNext,False,16777215,16777215,16777215,16777215	
subfrmSiteAssignment,Command133,False,16777215,16777215,16777215,16777215	
frmReviewResult,cmdSign,True,15652797,11957550,4210752,4210752	
frmStDvsSiteReview,Command76,True,14282978,11957550,0,4210752	
frmStDvsSiteReview,Command78,True,14282978,11957550,0,4210752	
frmStDvsSiteReview,cmdCloseForm,True,9917743,15983578,13431551,0	
frmStDvsSiteReview,cmdLast,False,16777215,16777215,16777215,16777215	
frmStDvsSiteReview,cmdNext,False,16777215,16777215,16777215,16777215	
frmStDvsSiteReview,cndNext,False,16777215,16777215,16777215,16777215	
frmStDvsSiteReview,cmdFirst,False,16777215,16777215,16777215,16777215	
subfrmProjectSitesDIU,Command61,False,16777215,16777215,16777215,16777215	
subfrmProjectSitesDIU,Command62,False,16777215,16777215,16777215,16777215	
subfrmProjectSitesDIU,Command63,False,16777215,16777215,16777215,16777215	
subfrmProjectSitesDIU,Command64,False,16777215,16777215,16777215,16777215	
frmDeterminationMemo,Command71,True,14282978,9917743,0,13431551	
frmDeterminationMemo,Command72,True,14282978,9917743,0,13431551	
frmDeterminationMemo,Command84,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command86,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command73,True,15652797,11957550,4210752,4210752	
frmDeterminationMemo,Command77,True,15652797,11957550,4210752,4210752	
